region_name,country,continent,region_id
中国,,亚洲,1
全国,,亚洲,2
加拿大,,北美洲,3
南非,,亚洲,4
印度,,亚洲,5
墨西哥,,亚洲,6
巴西,,南美洲,7
德国,,欧洲,8
挪威,,欧洲,9
新西兰,,亚洲,10
日本,,亚洲,11
智利,,亚洲,12
法国,,欧洲,13
泰国,,亚洲,14
澳大利亚,,大洋洲,15
瑞典,,欧洲,16
美国,,北美洲,17
芬兰,,亚洲,18
英国,,欧洲,19
荷兰,,亚洲,20
葡萄牙,,亚洲,21
韩国,,亚洲,22
Australia,,亚洲,23
Brazil,,亚洲,24
Canada,,亚洲,25
Chile,,亚洲,26
China,,亚洲,27
Finland,,亚洲,28
France,,亚洲,29
Germany,,亚洲,30
India,,亚洲,31
Japan,,亚洲,32
Mexico,,亚洲,33
Netherlands,,亚洲,34
New Zealand,,亚洲,35
Norway,,亚洲,36
Portugal,,亚洲,37
South Africa,,亚洲,38
South Korea,,亚洲,39
Sweden,,亚洲,40
省份/直辖市,,亚洲,41
2018-12-01 00:00:00,,亚洲,42
2019-01-01 00:00:00,,亚洲,43
2019-02-01 00:00:00,,亚洲,44
2019-03-01 00:00:00,,亚洲,45
2019-04-01 00:00:00,,亚洲,46
2019-05-01 00:00:00,,亚洲,47
2019-06-01 00:00:00,,亚洲,48
2019-07-01 00:00:00,,亚洲,49
2019-08-01 00:00:00,,亚洲,50
2019-09-01 00:00:00,,亚洲,51
2019-10-01 00:00:00,,亚洲,52
2019-11-01 00:00:00,,亚洲,53
2019-12-01 00:00:00,,亚洲,54
2020-01-01 00:00:00,,亚洲,55
2020-02-01 00:00:00,,亚洲,56
2020-03-01 00:00:00,,亚洲,57
2020-04-01 00:00:00,,亚洲,58
2020-05-01 00:00:00,,亚洲,59
2020-06-01 00:00:00,,亚洲,60
2020-07-01 00:00:00,,亚洲,61
2020-08-01 00:00:00,,亚洲,62
2020-09-01 00:00:00,,亚洲,63
2020-10-01 00:00:00,,亚洲,64
2020-11-01 00:00:00,,亚洲,65
2020-12-01 00:00:00,,亚洲,66
2021-01-01 00:00:00,,亚洲,67
2021-02-01 00:00:00,,亚洲,68
2021-03-01 00:00:00,,亚洲,69
2021-04-01 00:00:00,,亚洲,70
2021-05-01 00:00:00,,亚洲,71
2021-06-01 00:00:00,,亚洲,72
2021-07-01 00:00:00,,亚洲,73
2021-08-01 00:00:00,,亚洲,74
2021-09-01 00:00:00,,亚洲,75
2021-10-01 00:00:00,,亚洲,76
2021-11-01 00:00:00,,亚洲,77
2021-12-01 00:00:00,,亚洲,78
2022-01-01 00:00:00,,亚洲,79
2022-02-01 00:00:00,,亚洲,80
2022-03-01 00:00:00,,亚洲,81
2022-04-01 00:00:00,,亚洲,82
2022-05-01 00:00:00,,亚洲,83
2022-06-01 00:00:00,,亚洲,84
2022-07-01 00:00:00,,亚洲,85
